Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
43002;Lagny - Victor Basch;OUI;26;16;8;2;6;OUI;OUI;2025-10-24T18:57:48+00:00;48.84884147189881, 2.426325418925233;Vincennes;94080;
17044;Porte de Saint-Ouen - Bessières;OUI;42;38;2;2;0;OUI;OUI;2025-10-24T18:56:30+00:00;48.89792240854517, 2.32851451022192;Paris;75056;
21216;Louis Lejeune - Barbès;OUI;25;22;2;1;1;OUI;OUI;2025-10-24T18:52:34+00:00;48.81807418981508, 2.3267009854316716;Montrouge;92049;
19033;Cambrai - Benjamin Constant;OUI;43;15;28;8;20;OUI;OUI;2025-10-24T18:59:04+00:00;48.89594736851349, 2.381133802246315;Paris;75056;
15068;Général Martial Valin - Pont du Garigliano;OUI;16;14;1;0;1;OUI;OUI;2025-10-24T18:56:10+00:00;48.83823094269141, 2.270506024360657;Paris;75056;
17025;Chazelles - Courcelles;OUI;35;31;3;3;0;OUI;OUI;2025-10-24T18:54:18+00:00;48.879406604954, 2.3034455627202988;Paris;75056;
22207;Rond-point du Dr Albert Schweitzer;OUI;22;18;4;2;2;OUI;OUI;2025-10-24T18:57:09+00:00;48.78980918988166, 2.3143940046429634;Bagneux;92007;
21326;Moulin de Pierre - Abbé Grégoire;OUI;20;17;2;0;2;OUI;OUI;2025-10-24T18:57:54+00:00;48.822036188382, 2.2754641655975;Issy-les-Moulineaux;92040;
92002;Théâtre des Amandiers - Palais des sports;OUI;23;18;5;2;3;OUI;OUI;2025-10-24T18:53:11+00:00;48.892648526839, 2.2136941552162;Nanterre;92050;
16138;Saint-Cloud - Hippodrome;OUI;30;22;5;2;3;OUI;OUI;2025-10-24T18:50:40+00:00;48.85772148887421, 2.2549109905958176;Paris;75056;
17048;De Toqueville - Terrasse;OUI;30;23;3;2;1;OUI;OUI;2025-10-24T18:55:25+00:00;48.882428, 2.314002;Paris;75056;
31028;Raspail Barbès;OUI;28;20;8;1;7;OUI;OUI;2025-10-24T18:58:35+00:00;48.8529945, 2.4247387;Montreuil;93048;
44010;8 Mai 1945 - 10 Juillet 1940;OUI;30;8;21;14;7;OUI;OUI;2025-10-24T18:58:16+00:00;48.784567029674, 2.3979035764933;Vitry-sur-Seine;94081;
44017;Jules Guesde - Pont du Port à l'Anglais;OUI;30;5;23;17;6;OUI;OUI;2025-10-24T18:59:10+00:00;48.79628807093802, 2.417212128639221;Vitry-sur-Seine;94081;
9008;Tour d'Auvergne - Rodier;OUI;17;14;3;2;1;OUI;OUI;2025-10-24T18:58:44+00:00;48.879161, 2.343698;Paris;75056;
16118;Michel-Ange - Parent de Rosan;OUI;26;1;24;12;12;OUI;OUI;2025-10-24T18:57:56+00:00;48.840579923690115, 2.2584119439125065;Paris;75056;
8103;Artois - Berri;OUI;37;32;4;1;3;OUI;OUI;2025-10-24T18:58:05+00:00;48.87393521240818, 2.3064258322119713;Paris;75056;
2017;Caire - Dussoubs;OUI;40;1;37;19;18;OUI;OUI;2025-10-24T18:57:41+00:00;48.86785342111862, 2.349364310503006;Paris;75056;
8048;Marceau - Chaillot;OUI;21;18;2;0;2;OUI;OUI;2025-10-24T18:59:14+00:00;48.868834023334, 2.2986030816809;Paris;75056;
13118;Regnault - Patay;OUI;63;34;28;23;5;OUI;OUI;2025-10-24T18:58:57+00:00;48.82435782216384, 2.377065159380436;Paris;75056;
14013;Liard - Amiral Mouchez;OUI;28;22;5;2;3;OUI;OUI;2025-10-24T18:57:39+00:00;48.8214169, 2.342167;Paris;75056;
13030;Italie - Tolbiac;OUI;21;15;3;1;2;OUI;OUI;2025-10-24T18:58:14+00:00;48.82557229464416, 2.3576171323657036;Paris;75056;
15112;Vigée-Lebrun - Anselme Payen;OUI;24;18;4;2;2;OUI;OUI;2025-10-24T18:55:22+00:00;48.838683941628375, 2.3110422492027287;Paris;75056;
40016;Sarrazins - Saussure;OUI;22;8;14;9;5;OUI;OUI;2025-10-24T18:57:22+00:00;48.769626617432, 2.4717841148376;Créteil;94028;
44015;Rouget de L'isle - Watteau;OUI;20;5;14;10;4;OUI;OUI;2025-10-24T18:57:56+00:00;48.778192750803, 2.3963020229163;Vitry-sur-Seine;94081;
18111;Félix Ziem - Armand Gauthier;OUI;25;22;1;0;1;OUI;OUI;2025-10-24T18:58:51+00:00;48.88949630486821, 2.333393658804396;Paris;75056;
17032;Jean Oestreicher - Porte de Champerret;OUI;21;19;2;0;2;OUI;OUI;2025-10-24T18:51:45+00:00;48.88655580065981, 2.288640439510346;Paris;75056;
9002;Abbeville - Faubourg Poissonnière;OUI;14;11;3;0;3;OUI;OUI;2025-10-24T18:58:08+00:00;48.879223, 2.349147;Paris;75056;
8016;Square Louis XVI;OUI;29;12;16;12;4;OUI;OUI;2025-10-24T18:59:13+00:00;48.87320440102894, 2.323658830743138;Paris;75056;
48003;Youri Gagarine - Karl Marx;OUI;22;16;5;4;1;OUI;OUI;2025-10-24T18:58:17+00:00;48.78448485079149, 2.35908430069685;Villejuif;94076;
41303;Gare de Nogent-le-Perreux;OUI;32;18;10;8;2;OUI;OUI;2025-10-24T18:59:01+00:00;48.83842553348809, 2.493693307042122;Nogent-sur-Marne;94052;
16110;Octave Feuillet - Albéric Magnard;OUI;21;17;4;2;2;OUI;OUI;2025-10-24T18:58:37+00:00;48.86106902949534, 2.2730283066630363;Paris;75056;
12031;Gabriel Lamé;OUI;36;0;35;35;0;OUI;OUI;2025-10-24T18:54:11+00:00;48.8351212784276, 2.385534569621086;Paris;75056;
43009;Place Jean-Spire-Lemaître;OUI;50;36;14;11;3;OUI;OUI;2025-10-24T18:58:09+00:00;48.8468428626593, 2.452062070369721;Vincennes;94080;
21328;Verger - Colonel Guichard;OUI;29;26;2;0;2;OUI;OUI;2025-10-24T18:53:03+00:00;48.816376985087, 2.2670380088932;Issy-les-Moulineaux;92040;
9001;Bellefond - Poissonnière;OUI;17;12;5;2;3;OUI;OUI;2025-10-24T18:58:31+00:00;48.87759897050706, 2.348463758826256;Paris;75056;
9038;Douai - Bruxelles;OUI;27;9;14;6;8;OUI;OUI;2025-10-24T18:58:44+00:00;48.88320784122797, 2.3308449949028507;Paris;75056;
10115;Granges aux Belles;OUI;27;24;3;0;3;OUI;OUI;2025-10-24T18:56:20+00:00;48.8761373390584, 2.3680844979417;Paris;75056;
8009;Gare Saint-Lazare - Isly;OUI;27;7;19;18;1;OUI;OUI;2025-10-24T18:58:45+00:00;48.874777677621296, 2.326515804784655;Paris;75056;
10029;Dunkerque - Rocroy;OUI;24;19;3;1;2;OUI;OUI;2025-10-24T18:54:39+00:00;48.880726, 2.351464;Paris;75056;
17008;Porte Pouchet-Bessières;OUI;23;14;9;4;5;OUI;OUI;2025-10-24T18:56:24+00:00;48.8978765, 2.3230632;Paris;75056;
10161;Gare de l'Est - Faubourg-Saint-Martin;OUI;32;12;21;12;9;OUI;OUI;2025-10-24T18:58:05+00:00;48.875642647477, 2.3594588041306;Paris;75056;
7018;Ségur - d'Estrées;OUI;19;11;5;3;2;OUI;OUI;2025-10-24T18:52:44+00:00;48.851419978983, 2.3097044974566;Paris;75056;
1001;Quai de l'Horloge - Pont Neuf;OUI;17;8;4;2;2;OUI;OUI;2025-10-24T18:57:58+00:00;48.857058739111, 2.3417982839439;Paris;75056;
19207;Jean Jaurès - Bouret;OUI;32;15;15;4;11;OUI;OUI;2025-10-24T18:59:05+00:00;48.883144703938, 2.3712364995651;Paris;75056;
5022;Boulangers - Cardinal Lemoine;OUI;20;17;3;0;3;OUI;OUI;2025-10-24T18:58:31+00:00;48.8462904, 2.3521495;Paris;75056;
19105;Ambroise Rendu - Porte Brunet;OUI;17;12;5;1;4;OUI;OUI;2025-10-24T18:52:12+00:00;48.883667, 2.395733;Paris;75056;
13104;Gare d'Austerlitz - Quai Saint-Bernard;OUI;27;3;23;19;4;OUI;OUI;2025-10-24T18:59:14+00:00;48.84369030864, 2.3657163977623;Paris;75056;
22409;Henri Barbusse - Stalingrad;OUI;16;10;4;2;2;OUI;OUI;2025-10-24T18:57:48+00:00;48.814183748660554, 2.2872862592339516;Malakoff;92046;
31103;Gare Rosny-Bois-Perrier;OUI;35;18;14;10;4;OUI;OUI;2025-10-24T18:55:30+00:00;48.88115023337061, 2.480436824262142;Rosny-sous-Bois;93064;
19015;Thionville - Ourcq;OUI;24;1;23;8;15;OUI;OUI;2025-10-24T18:55:40+00:00;48.88917613743794, 2.3833653330802917;Paris;75056;
5005;Gay Lussac - Saint-Jacques;OUI;42;37;4;0;4;OUI;OUI;2025-10-24T18:58:41+00:00;48.844730256132, 2.3419239448664;Paris;75056;
17004;Legendre - Clichy;OUI;40;33;5;1;4;OUI;OUI;2025-10-24T18:56:15+00:00;48.88896161855884, 2.322528975094376;Paris;75056;
21323;Charlot - Stade Gabriel Voisin;OUI;31;21;8;5;3;OUI;OUI;2025-10-24T18:56:16+00:00;48.827228120536, 2.268122527474;Issy-les-Moulineaux;92040;
19003;Quai de la Seine;OUI;24;9;13;3;10;OUI;OUI;2025-10-24T18:58:32+00:00;48.884492238407525, 2.3703941702842717;Paris;75056;
8053;Place Georges Guillaumin;OUI;29;21;7;4;3;OUI;OUI;2025-10-24T18:56:58+00:00;48.874750203957, 2.301771435326;Paris;75056;
12151;Gare de Lyon - Place Louis Armand;OUI;60;5;54;44;10;OUI;OUI;2025-10-24T18:58:34+00:00;48.845515089794, 2.3726498446286;Paris;75056;
9014;Faubourg Montmartre - La Fayette;OUI;35;21;12;7;5;OUI;OUI;2025-10-24T18:59:09+00:00;48.875254549053, 2.3408536612988;Paris;75056;
16202;Commandant Schloesing - Pétrarque;OUI;30;30;0;0;0;NON;NON;2025-05-23T15:36:48+00:00;48.861773096259, 2.2838841134601;Paris;75056;
9106;Boudreau - Auber;OUI;28;19;6;2;4;OUI;OUI;2025-10-24T18:58:27+00:00;48.87219, 2.329423;Paris;75056;
92007;Pesaro - Préfecture;OUI;22;18;3;2;1;OUI;OUI;2025-10-24T18:56:13+00:00;48.89577046284005, 2.223908342421055;Nanterre;92050;
31706;Château - République;OUI;26;18;7;3;4;OUI;OUI;2025-10-24T18:56:28+00:00;48.862923800596, 2.4155035614967;Bagnolet;93006;
16026;Ranelagh - Mozart;OUI;23;14;7;4;3;OUI;OUI;2025-10-24T18:57:03+00:00;48.8554439, 2.2704418;Paris;75056;
51006;Lieutenant Colonel Prudhon - Repos;OUI;1;1;0;0;0;NON;NON;2025-10-24T18:58:55+00:00;48.946800700149, 2.2380727982588;Argenteuil;95018;
9028;Moncey - Blanche;OUI;17;4;10;0;10;OUI;OUI;2025-10-24T18:58:51+00:00;48.88006587474148, 2.3310810327529907;Paris;75056;
9022;Rossini - Laffitte;OUI;33;16;16;16;0;OUI;OUI;2025-10-24T18:56:17+00:00;48.87334627510507, 2.337980867701675;Paris;75056;
26002;Redoute - Les Courtilles;OUI;40;8;30;18;12;OUI;OUI;2025-10-24T18:56:34+00:00;48.929867194519, 2.2836696356535;Asnières-sur-Seine;92004;
26003;Argenteuil - Voltaire;OUI;16;3;10;8;2;OUI;OUI;2025-10-24T18:57:06+00:00;48.918648659556, 2.281411215663;Asnières-sur-Seine;92004;
17043;Belidor - Gouvion-Saint-Cyr;OUI;39;20;19;18;1;OUI;OUI;2025-10-24T18:56:56+00:00;48.88022154052015, 2.2854680567979813;Paris;75056;
10107;Gare du Nord - Hôpital Lariboisière;OUI;49;43;4;1;3;OUI;OUI;2025-10-24T18:58:14+00:00;48.881949, 2.352339;Paris;75056;
19026;Place de Rhin et Danube;OUI;17;11;2;1;1;OUI;OUI;2025-10-24T18:50:05+00:00;48.88192765861766, 2.392586767673493;Paris;75056;
16039;Exelmans - Versailles;OUI;49;9;40;22;18;OUI;OUI;2025-10-24T18:58:57+00:00;48.84097491091973, 2.264390252530575;Paris;75056;
11002;Roquette - Thiéré;OUI;23;2;18;17;1;OUI;OUI;2025-10-24T18:59:16+00:00;48.85507930579506, 2.3733686318721463;Paris;75056;
11023;Saint-Maur - Roquette;OUI;46;29;16;11;5;OUI;OUI;2025-10-24T18:57:20+00:00;48.858688774062955, 2.383553994571467;Paris;75056;
8034;Berri - Haussmann;OUI;49;45;3;2;1;OUI;OUI;2025-10-24T18:59:15+00:00;48.874746047357135, 2.3082953318953514;Paris;75056;
45003;11 Novembre 1918 - 8 Mai 1945;OUI;36;24;12;5;7;OUI;OUI;2025-10-24T18:52:34+00:00;48.80889533774377, 2.5382421165704727;Champigny-sur-Marne;94017;
11027;Saint-Ambroise - Parmentier;OUI;38;28;10;6;4;OUI;OUI;2025-10-24T18:58:22+00:00;48.862147844548, 2.3772348091006;Paris;75056;
12111;Claude Decaen - Cannebière;OUI;45;31;12;3;9;OUI;OUI;2025-10-24T18:56:43+00:00;48.83761417037952, 2.397253782195704;Paris;75056;
10016;Récollets - Square Villemin;OUI;17;5;11;4;7;OUI;OUI;2025-10-24T18:57:59+00:00;48.875034655883944, 2.359801238597928;Paris;75056;
11047;Amelot - Saint-Sébastien;OUI;30;1;25;15;10;OUI;OUI;2025-10-24T18:59:07+00:00;48.861142162761, 2.3677996181077;Paris;75056;
15042;Henry Farman;OUI;16;15;0;0;0;OUI;OUI;2025-10-24T18:59:16+00:00;48.83372430280548, 2.2713854536414146;Paris;75056;
19043;Delphine Seyrig - Général Leclerc;OUI;53;48;4;2;2;OUI;OUI;2025-10-24T18:55:49+00:00;48.893923963057865, 2.39790290594101;Pantin;93055;
18011;Pajol - Place Herbert;OUI;39;16;21;12;9;OUI;OUI;2025-10-24T18:58:35+00:00;48.8927825, 2.3635598;Paris;75056;
5032;Panthéon - Valette;OUI;51;47;3;0;3;OUI;OUI;2025-10-24T18:58:55+00:00;48.847020571652, 2.3464982619671;Paris;75056;
21212;Marne - Germain Dardan;OUI;22;18;3;1;2;OUI;OUI;2025-10-24T18:54:17+00:00;48.81217465201, 2.3035024699104;Montrouge;92049;
18107;Chartres - La Charbonnière;OUI;34;32;2;1;1;OUI;OUI;2025-10-24T18:55:09+00:00;48.8847601, 2.3534657;Paris;75056;
20042;Pyrénées - Emmery;OUI;40;37;2;0;2;OUI;OUI;2025-10-24T18:58:16+00:00;48.87202880542, 2.3918598091484;Paris;75056;
15067;Desaix - Edgar Faure;OUI;12;1;11;10;1;OUI;OUI;2025-10-24T18:58:53+00:00;48.852804604940296, 2.293077029857222;Paris;75056;
15104;Hôpital Européen Georges Pompidou;OUI;78;32;46;44;2;OUI;OUI;2025-10-24T18:53:24+00:00;48.837695319163, 2.2753742337227;Paris;75056;
16108;Sablons - Georges Mandel;OUI;38;35;2;1;1;OUI;OUI;2025-10-24T18:52:06+00:00;48.863875, 2.28189;Paris;75056;
14003;Schoelcher - Raspail;OUI;50;46;4;0;4;OUI;OUI;2025-10-24T18:57:50+00:00;48.83681733526843, 2.3312794080411474;Paris;75056;
17030;Pereire - Rennequin;OUI;23;7;15;12;3;OUI;OUI;2025-10-24T18:59:01+00:00;48.88364782887555, 2.2952447086572647;Paris;75056;
14138;Porte de Vanves;OUI;32;28;3;0;3;OUI;OUI;2025-10-24T18:57:41+00:00;48.828012849445, 2.3056878894567;Paris;75056;
6006;Notre-Dame-des-Champs - Stanislas;OUI;19;13;3;2;1;OUI;OUI;2025-10-24T18:56:02+00:00;48.84479928858768, 2.329337755887181;Paris;75056;
12114;Victor Hugo - Jeanne Jugan;OUI;28;28;0;0;0;OUI;OUI;2025-10-24T18:56:46+00:00;48.843949064031825, 2.415081394834419;Paris;75056;
12128;Pyramide - Ecole du Breuil;OUI;34;25;9;6;3;OUI;OUI;2025-10-24T18:49:32+00:00;48.82237977153955, 2.4586871266365056;Paris;75056;
41209;Cimetière de Fontenay-sous-Bois;OUI;15;12;3;0;3;OUI;OUI;2025-10-24T18:53:26+00:00;48.84706173362218, 2.4787822365760808;Fontenay-sous-Bois;94033;
8010;Liège - Moscou;OUI;17;15;1;0;1;OUI;OUI;2025-10-24T18:56:07+00:00;48.8795431, 2.3264628;Paris;75056;
21312;Lucie Aubrac - Fort;OUI;30;27;2;1;1;OUI;OUI;2025-10-24T18:54:36+00:00;48.818144834008976, 2.271184623241425;Issy-les-Moulineaux;92040;
31022;Mairie de Montreuil;OUI;52;45;6;2;4;OUI;OUI;2025-10-24T18:57:02+00:00;48.86131452758348, 2.440614402294159;Montreuil;93048;
18046;Etienne Jodelle - Saint Ouen;OUI;33;26;6;1;5;OUI;OUI;2025-10-24T18:55:53+00:00;48.88794016394694, 2.326124420314341;Paris;75056;
46002;Rouget de Lisle;OUI;35;17;17;11;6;OUI;OUI;2025-10-24T18:58:04+00:00;48.764615483395254, 2.4071189761161804;Choisy-le-Roi;94022;
22406;Guy Môquet - Etienne Dolet;OUI;23;12;8;1;7;OUI;OUI;2025-10-24T18:58:32+00:00;48.81527009991819, 2.298078276995073;Malakoff;92046;
