Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
35009;Jean Lolive - Parc Stalingrad;OUI;22;15;6;2;4;OUI;OUI;2025-10-24T18:55:52+00:00;48.89206174403158, 2.4091735482215886;Pantin;93055;
8102;Lamennais - Washington;OUI;40;32;6;2;4;OUI;OUI;2025-10-24T18:58:38+00:00;48.87352990026496, 2.303444892168045;Paris;75056;
21109;Guichet - Jean Jaurès;OUI;28;2;25;12;13;OUI;OUI;2025-10-24T18:58:18+00:00;48.905169868129036, 2.3023840785026555;Clichy;92024;
31702;Pierre et Marie Curie - Julien Grimau;OUI;18;15;3;0;3;OUI;OUI;2025-10-24T18:56:48+00:00;48.870714014863225, 2.424097023904324;Bagnolet;93006;
31012;Place Carnot;OUI;25;20;3;2;1;OUI;OUI;2025-10-24T18:54:13+00:00;48.85593932186797, 2.441531717777252;Montreuil;93048;
7004;Raspail - Varenne;OUI;18;13;5;2;3;OUI;OUI;2025-10-24T18:59:09+00:00;48.853147816545, 2.3263905197382;Paris;75056;
16129;Ceinture du Lac Inferieure - Saint-Cloud;OUI;42;38;4;1;3;OUI;OUI;2025-10-24T18:55:24+00:00;48.86218070933143, 2.2617871686816216;Paris;75056;
21013;Pierre Grenier - Pont de Billancourt;OUI;21;11;10;7;3;OUI;OUI;2025-10-24T18:59:15+00:00;48.8258020742942, 2.2487989068031315;Boulogne-Billancourt;92012;
35019;Anatole France - Jean Lolive;OUI;28;20;6;2;4;OUI;OUI;2025-10-24T18:52:58+00:00;48.8949922, 2.4253764;Pantin;93055;
21111;Professeur René Leriche - Général Leclerc;OUI;50;25;24;18;6;OUI;OUI;2025-10-24T18:58:05+00:00;48.90782845483013, 2.307887971401215;Clichy;92024;
14104;Boyer-Barret - Raymond Losserand;OUI;23;17;6;3;3;OUI;OUI;2025-10-24T18:57:55+00:00;48.83329880233322, 2.3173383995890617;Paris;75056;
2010;Uzès - Montmartre;OUI;29;7;18;13;5;OUI;OUI;2025-10-24T18:58:42+00:00;48.870790980240706, 2.3431010171771054;Paris;75056;
20113;Piat - Parc de Belleville;OUI;21;16;5;1;4;OUI;OUI;2025-10-24T18:58:19+00:00;48.87195626635528, 2.384981390278095;Paris;75056;
11114;Ledru-Rollin - Charonne;OUI;32;1;31;25;6;OUI;OUI;2025-10-24T18:58:55+00:00;48.85345855607243, 2.3772463581947094;Paris;75056;
31705;Champeaux - Gallieni;OUI;50;47;2;2;0;OUI;OUI;2025-10-24T18:49:46+00:00;48.864459134684644, 2.4161778017878532;Bagnolet;93006;
7006;Quai Voltaire;OUI;32;7;21;15;6;OUI;OUI;2025-10-24T18:58:02+00:00;48.858942986179, 2.3314182047146;Paris;75056;
12126;Gravelle - Route du Bac;OUI;51;36;14;6;8;OUI;OUI;2025-10-24T18:55:19+00:00;48.824407, 2.418455;Paris;75056;
7014;Saint-François-Xavier;OUI;42;32;10;5;5;OUI;OUI;2025-10-24T18:56:55+00:00;48.85154484769, 2.3146149516106;Paris;75056;
19019;Petit - Manin;OUI;22;4;17;4;13;OUI;OUI;2025-10-24T18:58:21+00:00;48.886506875343, 2.3938155401308;Paris;75056;
8012;Batignolles - Place de Clichy;OUI;47;38;8;5;3;OUI;OUI;2025-10-24T18:58:56+00:00;48.883474535757, 2.326493114233;Paris;75056;
10152;Gare du Nord - Place de Valenciennes;NON;0;0;0;0;0;NON;NON;2025-07-08T08:17:37+00:00;48.879089, 2.354235;Paris;75056;
5002;Sommerard - Saint-Jacques;OUI;34;14;17;14;3;OUI;OUI;2025-10-24T18:58:28+00:00;48.850310432924, 2.3450158352986;Paris;75056;
41604;Lagny - Joffre;OUI;31;25;6;3;3;OUI;OUI;2025-10-24T18:57:18+00:00;48.84930687084088, 2.417949736118317;Saint-Mandé;94067;
20040;Parc de Belleville - Julien Lacroix;OUI;26;20;5;0;5;OUI;OUI;2025-10-24T18:52:53+00:00;48.8703459, 2.3842214;Paris;75056;
15017;Place Falguière;OUI;23;11;11;2;9;OUI;OUI;2025-10-24T18:56:59+00:00;48.83629973941847, 2.3104464635252953;Paris;75056;
34002;Capitaine Glarner - Gabriel Péri;OUI;27;14;10;8;2;OUI;OUI;2025-10-24T18:56:10+00:00;48.902449900418745, 2.3304807533425724;Saint-Ouen-sur-Seine;93070;
17018;Parc Monceau;OUI;18;15;3;1;2;OUI;OUI;2025-10-24T18:59:12+00:00;48.881077914129, 2.3095492646098;Paris;75056;
23002;Pont de Levallois-bécon;OUI;50;41;8;6;2;OUI;OUI;2025-10-24T18:57:58+00:00;48.8984179, 2.2791311;Levallois-Perret;92044;
18005;Tardieu - Chappe;OUI;18;11;6;1;5;OUI;OUI;2025-10-24T18:56:29+00:00;48.884146759782, 2.341845408082;Paris;75056;
14130;Jonquoy - Didot;OUI;30;28;2;1;1;OUI;OUI;2025-10-24T18:58:36+00:00;48.82890454823947, 2.31648076325655;Paris;75056;
26001;Gare d'Asnières sur Seine;OUI;24;1;19;10;9;OUI;OUI;2025-10-24T18:58:02+00:00;48.90636459217474, 2.2835066914558415;Asnières-sur-Seine;92004;
10015;Lucien Sampaix - Récollets;OUI;46;22;23;17;6;OUI;OUI;2025-10-24T18:58:07+00:00;48.874330377560476, 2.3621229082345963;Paris;75056;
18020;Francoeur - Marcadet;OUI;20;12;5;1;4;OUI;OUI;2025-10-24T18:57:46+00:00;48.89104123261663, 2.340014585442034;Paris;75056;
41207;Place du Général de Gaulle;OUI;28;11;16;7;9;OUI;OUI;2025-10-24T18:58:39+00:00;48.8525288, 2.4877332;Fontenay-sous-Bois;94033;
20136;Henri Chevreau - Couronnes;OUI;27;25;2;1;1;OUI;OUI;2025-10-24T18:55:23+00:00;48.87033205312931, 2.388777695596218;Paris;75056;
12032;Porte Dorée;OUI;36;8;25;19;6;OUI;OUI;2025-10-24T18:54:32+00:00;48.8354337, 2.4077132;Paris;75056;
5026;Pascal - Claude Bernard;OUI;49;42;6;2;4;OUI;OUI;2025-10-24T18:59:03+00:00;48.839061952159746, 2.3499782010912895;Paris;75056;
19037;Belleville - Porte des Lilas;OUI;32;24;3;0;3;OUI;OUI;2025-10-24T18:55:37+00:00;48.87660391892763, 2.404769691129476;Paris;75056;
15028;Grenelle - Dr Finlay;OUI;71;9;61;58;3;OUI;OUI;2025-10-24T18:59:09+00:00;48.851315406715976, 2.2919502854347233;Paris;75056;
6103;Mézières - Rennes;OUI;55;10;44;43;1;OUI;OUI;2025-10-24T18:55:04+00:00;48.85023459321703, 2.3303819820284843;Paris;75056;
14018;Porte d'Orléans;OUI;48;44;4;1;3;OUI;OUI;2025-10-24T18:58:47+00:00;48.8227639, 2.3249313;Paris;75056;
20021;Indre - Prairies;OUI;38;34;2;0;2;OUI;OUI;2025-10-24T18:58:43+00:00;48.86254398506782, 2.403290458023548;Paris;75056;
42503;Vladimir Ilitch Lénine - Andrée Chedid;OUI;31;25;6;5;1;OUI;OUI;2025-10-24T18:54:04+00:00;48.813240124373, 2.3319716067039;Gentilly;94037;
6018;Michelet - Assas;OUI;18;15;1;0;1;OUI;OUI;2025-10-24T18:58:41+00:00;48.842741502832, 2.3350211977959;Paris;75056;
5116;Place Valhubert;OUI;51;5;42;34;8;OUI;OUI;2025-10-24T18:59:14+00:00;48.844182577315, 2.3640366643667;Paris;75056;
21019;Edouard Vaillant - Paul-Adolphe Souriau;OUI;28;19;9;7;2;OUI;OUI;2025-10-24T18:58:53+00:00;48.834845858829, 2.2479459643364;Boulogne-Billancourt;92012;
17017;Gare de Pont-Cardinet;OUI;34;30;4;1;3;OUI;OUI;2025-10-24T18:57:52+00:00;48.88713901475306, 2.314494143994255;Paris;75056;
27008;Labouret - Saint-Denis;OUI;24;15;7;6;1;OUI;OUI;2025-10-24T18:53:26+00:00;48.924066621513, 2.2539156570765;Colombes;92025;
10023;Gare de l'Est - Verdun;OUI;14;8;3;2;1;OUI;OUI;2025-10-24T18:58:28+00:00;48.876156054271, 2.3609149083206;Paris;75056;
19109;Tanger - Place du Maroc;OUI;19;18;1;1;0;OUI;OUI;2025-10-24T18:58:50+00:00;48.8862524447104, 2.3689296841621403;Paris;75056;
13026;Place Jean Delay;OUI;35;26;8;6;2;OUI;OUI;2025-10-24T18:58:10+00:00;48.823316, 2.354336;Paris;75056;
31019;Vincennes - Douy-Delcupe;OUI;38;34;3;1;2;OUI;OUI;2025-10-24T18:54:04+00:00;48.85493692155721, 2.436049282550812;Montreuil;93048;
14139;Pierre Larousse - Raymond Losserand;OUI;30;24;4;0;4;OUI;OUI;2025-10-24T18:53:56+00:00;48.83059564231877, 2.3119183257222176;Paris;75056;
18032;Porte de Clignancourt.;OUI;56;49;4;1;3;OUI;OUI;2025-10-24T18:57:38+00:00;48.897488, 2.343996;Paris;75056;
13102;Pitié-Salpêtrière;OUI;51;30;21;21;0;OUI;OUI;2025-10-24T18:50:33+00:00;48.83748810318667, 2.365213818848133;Paris;75056;
17124;Porte de Saint-Ouen - Henri Huchard;OUI;26;20;2;1;1;OUI;OUI;2025-10-24T18:51:51+00:00;48.898708366365064, 2.3295360803604126;Paris;75056;
11101;Charles Delescluze;OUI;49;1;46;32;14;OUI;OUI;2025-10-24T18:58:42+00:00;48.85242200848887, 2.380632497370243;Paris;75056;
44012;Génie - Mozart;OUI;19;18;1;1;0;OUI;OUI;2025-10-24T18:57:50+00:00;48.794902381218904, 2.3734183609485626;Vitry-sur-Seine;94081;
15055;Vasco de Gama;OUI;54;12;39;37;2;OUI;OUI;2025-10-24T18:58:23+00:00;48.83671783466264, 2.283664085650799;Paris;75056;
17027;Place du Maréchal Juin - Péreire;OUI;46;39;3;0;3;OUI;OUI;2025-10-24T18:57:21+00:00;48.885263, 2.298286;Paris;75056;
12011;Charenton - Place du Col Bourgoin;OUI;35;2;31;25;6;OUI;OUI;2025-10-24T18:58:22+00:00;48.844867319554, 2.3825789350545;Paris;75056;
51003;Hôtel de Ville d'Argenteuil;OUI;30;14;16;7;9;OUI;OUI;2025-10-24T18:55:04+00:00;48.946504, 2.2496396;Argenteuil;95018;
21308;Bara - Henri Farman;OUI;58;32;26;21;5;OUI;OUI;2025-10-24T18:57:20+00:00;48.833218027457846, 2.2677567601203923;Issy-les-Moulineaux;92040;
22101;Gare Routière de Saint Cloud;OUI;31;5;26;25;1;OUI;OUI;2025-10-24T18:57:06+00:00;48.84288183896324, 2.222245037555695;Saint-Cloud;92064;
15038;Place Adolphe Cherioux - Vaugirard;OUI;63;34;25;22;3;OUI;OUI;2025-10-24T18:59:12+00:00;48.83959442800459, 2.3010657727718353;Paris;75056;
13016;Primo Levi - Frigos;OUI;34;15;19;16;3;OUI;OUI;2025-10-24T18:57:51+00:00;48.83094844846017, 2.37965351592796;Paris;75056;
21032;Sèvres-Gallieni;OUI;27;14;12;11;1;OUI;OUI;2025-10-24T18:59:16+00:00;48.837809408957, 2.2281519323587;Boulogne-Billancourt;92012;
13043;Dunois - Clisson;OUI;51;31;6;2;4;OUI;OUI;2025-10-24T18:58:39+00:00;48.832294, 2.3674523;Paris;75056;
7005;Raspail - Bac;OUI;52;42;8;4;4;OUI;OUI;2025-10-24T18:56:30+00:00;48.855628721101, 2.3256602883339;Paris;75056;
2009;Filles Saint-Thomas - Place de la Bourse;OUI;58;49;6;5;1;OUI;OUI;2025-10-24T18:55:41+00:00;48.868899890853, 2.3397543845203;Paris;75056;
21105;Morice - Général Leclerc;OUI;25;16;8;6;2;OUI;OUI;2025-10-24T18:54:28+00:00;48.90245471981591, 2.3128929734230046;Clichy;92024;
44102;Verdun - Adrien Damalix;OUI;26;11;14;4;10;OUI;OUI;2025-10-24T18:58:00+00:00;48.8222334178559, 2.4215328320860863;Saint-Maurice;94069;
32014;Place du Cornillon - Stade de France;OUI;34;7;27;13;14;OUI;OUI;2025-10-24T18:55:58+00:00;48.92540695835961, 2.3644426837563515;Saint-Denis;93066;
19039;Edouard Pailleron - Simon Bolivar;OUI;24;19;2;0;2;OUI;OUI;2025-10-24T18:58:43+00:00;48.87979886049996, 2.374839261174202;Paris;75056;
31016;Lucie Aubrac - Franklin;OUI;36;25;11;3;8;OUI;OUI;2025-10-24T18:56:51+00:00;48.86223916006812, 2.4435862898826604;Montreuil;93048;
16032;Eglise d'Auteuil;OUI;21;9;11;5;6;OUI;OUI;2025-10-24T18:58:00+00:00;48.84749841771691, 2.26848387135299;Paris;75056;
9115;Milton - Manuel;OUI;22;16;5;3;2;OUI;OUI;2025-10-24T18:55:22+00:00;48.878249, 2.341181;Paris;75056;
21003;Jean Jaurès - Jean Baptiste Clément;OUI;39;0;38;29;9;OUI;OUI;2025-10-24T18:59:16+00:00;48.84576261454011, 2.2369650006294255;Boulogne-Billancourt;92012;
22001;Château - Bineau;OUI;23;3;19;16;3;OUI;OUI;2025-10-24T18:58:46+00:00;48.890404028589806, 2.270106375217438;Neuilly-sur-Seine;92051;
18025;Mairie du 18ème;OUI;40;37;3;1;2;OUI;OUI;2025-10-24T18:58:49+00:00;48.892939296937605, 2.3445510864257812;Paris;75056;
20027;Porte de Ménilmontant;OUI;15;12;3;0;3;OUI;OUI;2025-10-24T18:55:58+00:00;48.8691543609174, 2.40932246879487;Paris;75056;
17122;Bridaine - Lamandé;OUI;29;16;9;2;7;OUI;OUI;2025-10-24T18:58:56+00:00;48.8862074, 2.3206239;Paris;75056;
19040;Belleville - Télégraphe;OUI;41;38;0;0;0;OUI;OUI;2025-10-24T18:54:08+00:00;48.8756045, 2.3995549;Paris;75056;
9023;Laffitte - Italiens;OUI;33;28;5;4;1;OUI;OUI;2025-10-24T18:56:40+00:00;48.871815737396, 2.3372015478451;Paris;75056;
17047;Courcelles - Pierre Demours;OUI;26;21;3;2;1;OUI;OUI;2025-10-24T18:54:24+00:00;48.883769733273496, 2.29858466343129;Paris;75056;
14122;Colonel Monteil - Brune;OUI;19;14;5;2;3;OUI;OUI;2025-10-24T18:51:44+00:00;48.82650293311, 2.3092747998272;Paris;75056;
17046;Mac-Mahon - Brey;OUI;25;14;6;3;3;OUI;OUI;2025-10-24T18:58:47+00:00;48.877532084130166, 2.294512536052928;Paris;75056;
16123;Mahatma Gandhi;OUI;26;19;7;5;2;OUI;OUI;2025-10-24T18:56:21+00:00;48.876356, 2.264205;Paris;75056;
18109;Pajol - Riquet;OUI;47;40;7;0;7;OUI;OUI;2025-10-24T18:54:49+00:00;48.88960028134536, 2.3628534749150276;Paris;75056;
8051;Batignolles - Rome;OUI;15;11;2;2;0;OUI;OUI;2025-10-24T18:58:23+00:00;48.881823370567, 2.3202589899302;Paris;75056;
18029;Emile Blemont - Poteau;OUI;39;27;12;3;9;OUI;OUI;2025-10-24T18:55:26+00:00;48.8943782, 2.3415122;Paris;75056;
31007;Paris - Désiré Préaux;OUI;49;33;12;3;9;OUI;OUI;2025-10-24T18:57:12+00:00;48.85742876694898, 2.4323049187660217;Montreuil;93048;
20023;Pelleport - Belgrand;OUI;15;12;3;1;2;OUI;OUI;2025-10-24T18:53:23+00:00;48.86500081847653, 2.403980836377493;Paris;75056;
15108;Lourmel - Marie Skobtsov;OUI;22;4;17;13;4;OUI;OUI;2025-10-24T18:55:45+00:00;48.844974, 2.287283;Paris;75056;
15035;Place Etienne Pernet;OUI;43;23;20;19;1;OUI;OUI;2025-10-24T18:59:13+00:00;48.84243457133779, 2.2921819612383847;Paris;75056;
41204;République - Danton;OUI;20;17;3;0;3;OUI;OUI;2025-10-24T18:51:00+00:00;48.85249172181667, 2.462034523487091;Fontenay-sous-Bois;94033;
18049;Porte d'Aubervilliers;OUI;55;26;23;13;10;OUI;OUI;2025-10-24T18:57:53+00:00;48.89859661942376, 2.3689722642302513;Paris;75056;
17121;Square des Epinettes;OUI;20;13;6;1;5;OUI;OUI;2025-10-24T18:56:58+00:00;48.89383909781389, 2.325953990221024;Paris;75056;
10020;Chabrol - d'Hauteville;OUI;11;4;5;4;1;OUI;OUI;2025-10-24T18:58:26+00:00;48.877018388033, 2.3513179644942;Paris;75056;
19009;Cité des Sciences et de l'Industrie;OUI;30;14;13;4;9;OUI;OUI;2025-10-24T18:59:11+00:00;48.89659571178903, 2.384599149227142;Paris;75056;
34010;Hôtel de Ville de Saint-Ouen;OUI;48;15;32;16;16;OUI;OUI;2025-10-24T18:57:53+00:00;48.911380185786, 2.3340076807601;Saint-Ouen-sur-Seine;93070;
19038;Lassus - Delouvain;OUI;20;18;1;0;1;OUI;OUI;2025-10-24T18:54:30+00:00;48.8755044846, 2.3890327325519;Paris;75056;
31703;Sadi Carnot - François Mitterrand;OUI;27;18;8;3;5;OUI;OUI;2025-10-24T18:59:14+00:00;48.87532687671517, 2.4241617321968083;Bagnolet;93006;
21703;Square du Carrefour de l'Insurrection;OUI;23;14;9;3;6;OUI;OUI;2025-10-24T18:59:08+00:00;48.820864559770676, 2.291113436222077;Vanves;92075;
35003;Gabrielle Josserand - Edouard Vaillant;OUI;25;12;12;10;2;OUI;OUI;2025-10-24T18:59:15+00:00;48.90271566255436, 2.3933270573616032;Pantin;93055;
35017;Toffier Decaux - Cartier Bresson;OUI;18;12;6;2;4;OUI;OUI;2025-10-24T18:59:06+00:00;48.90165072551549, 2.4017545580863957;Pantin;93055;
19127;Aubervilliers - Curial;OUI;23;18;2;0;2;OUI;OUI;2025-10-24T18:52:49+00:00;48.89088305227546, 2.3688579350709915;Paris;75056;
20118;Orteaux - Mouraud;OUI;24;22;2;0;2;OUI;OUI;2025-10-24T18:55:40+00:00;48.85558642847872, 2.408762907764669;Paris;75056;
16015;Bassano -  Iéna;OUI;15;13;2;0;2;OUI;OUI;2025-10-24T18:59:05+00:00;48.868144510482075, 2.296149600985935;Paris;75056;
16021;François Ponsard - La Muette;OUI;23;22;1;1;0;OUI;OUI;2025-10-24T18:58:45+00:00;48.8583666, 2.2744515;Paris;75056;
1120;Lavandieres Sainte Opportune - Rivoli;OUI;27;3;19;13;6;OUI;OUI;2025-10-24T18:56:54+00:00;48.859279702476, 2.3466217517853;Paris;75056;
9031;Provence - Chaussée d'Antin;OUI;25;9;15;14;1;OUI;OUI;2025-10-24T18:58:15+00:00;48.87428447542072, 2.332976511564311;Paris;75056;
14112;Méchain - Faubourg Saint-Jacques;OUI;16;16;0;0;0;OUI;OUI;2025-10-24T18:53:02+00:00;48.83586772099485, 2.33798034198275;Paris;75056;
9117;Bellefond - Maubeuge;OUI;31;22;6;1;5;OUI;OUI;2025-10-24T18:50:08+00:00;48.878255397645, 2.3452642187476;Paris;75056;
21310;Kléber - Gouverneur Général Eboué;OUI;24;19;4;1;3;OUI;OUI;2025-10-24T18:57:15+00:00;48.826885843069796, 2.2723413258790965;Issy-les-Moulineaux;92040;
14002;Edgar Quinet - Raspail;OUI;46;41;4;1;3;OUI;OUI;2025-10-24T18:59:14+00:00;48.83940266673835, 2.32971478253603;Paris;75056;
23007;Président Wilson - Jean Jaures;OUI;27;19;8;8;0;OUI;OUI;2025-10-24T18:55:53+00:00;48.89034054052266, 2.2920683026313786;Levallois-Perret;92044;
18113;Lepic - Armée d'Orient;OUI;24;18;5;1;4;OUI;OUI;2025-10-24T18:56:38+00:00;48.887536403814, 2.3343077301979;Paris;75056;
20016;Pyrénées - Maraîchers;OUI;33;28;3;0;3;OUI;OUI;2025-10-24T18:58:48+00:00;48.85714001395299, 2.4043509364128113;Paris;75056;
11041;Square Saint-Ambroise;OUI;43;13;28;17;11;OUI;OUI;2025-10-24T18:58:29+00:00;48.860934, 2.375841;Paris;75056;
32015;Gare RER de Saint-Denis;OUI;40;12;26;17;9;OUI;OUI;2025-10-24T18:58:59+00:00;48.93554324248177, 2.3471488058567047;Saint-Denis;93066;
15031;Théâtre - Lourmel;OUI;53;13;40;31;9;OUI;OUI;2025-10-24T18:58:53+00:00;48.8482070397636, 2.2898658737540245;Paris;75056;
10010;Place Jacques Bonsergent;OUI;33;2;30;21;9;OUI;OUI;2025-10-24T18:57:57+00:00;48.870948218595, 2.3612049221992;Paris;75056;
21014;Hameau Fleuri - Marché;OUI;22;12;10;10;0;OUI;OUI;2025-10-24T18:58:03+00:00;48.831448892608314, 2.2412404417991643;Boulogne-Billancourt;92012;
16043;Place de Passy;OUI;15;12;2;0;2;OUI;OUI;2025-10-24T18:50:31+00:00;48.85780291711202, 2.277500546942199;Paris;75056;
5121;Square René Viviani - Montebello;OUI;47;7;36;30;6;OUI;OUI;2025-10-24T18:58:43+00:00;48.851904891406, 2.3478421568871;Paris;75056;
16027;Mozart - Jasmin;OUI;62;51;10;1;9;OUI;OUI;2025-10-24T18:51:58+00:00;48.85286124871689, 2.268483570651513;Paris;75056;
11006;Ledru-Rollin - Place du Père Chaillet;OUI;37;0;36;27;9;OUI;OUI;2025-10-24T18:59:16+00:00;48.856433706943704, 2.379020587761426;Paris;75056;
16029;Maison de Radio - France;OUI;47;19;27;27;0;OUI;OUI;2025-10-24T18:59:14+00:00;48.85132886434057, 2.277785539627075;Paris;75056;
47005;Ecole Vétérinaire;OUI;36;17;19;19;0;OUI;OUI;2025-10-24T18:55:34+00:00;48.81488859822486, 2.4224362157778994;Maisons-Alfort;94046;
18008;Square Léon;OUI;33;29;4;1;3;OUI;OUI;2025-10-24T18:55:17+00:00;48.88667396788626, 2.353205569088459;Paris;75056;
17040;Pereire - Ternes;OUI;48;34;10;10;0;OUI;OUI;2025-10-24T18:54:37+00:00;48.87973954830735, 2.288012132048607;Paris;75056;
7008;Villersexel - Saint-Germain;OUI;16;6;10;10;0;OUI;OUI;2025-10-24T18:54:11+00:00;48.858297001218, 2.3237934708595;Paris;75056;
47004;Stade Auguste Delaune;OUI;21;13;8;2;6;OUI;OUI;2025-10-24T18:56:18+00:00;48.80896378683884, 2.4345204234123234;Maisons-Alfort;94046;
16112;Chernoviz - Raynouard;OUI;37;32;4;3;1;OUI;OUI;2025-10-24T18:53:31+00:00;48.8569864146289, 2.282173218142987;Paris;75056;
9026;Jean-Baptiste Pigalle - La Bruyere;OUI;17;6;10;4;6;OUI;OUI;2025-10-24T18:58:21+00:00;48.87939826447722, 2.333709173337285;Paris;75056;
14030;Pernety - Raymond Losserand;OUI;32;24;8;3;5;OUI;OUI;2025-10-24T18:54:11+00:00;48.834254627953, 2.317609339387;Paris;75056;
21001;Transvaal - Charles de Gaulle;OUI;27;2;24;16;8;OUI;OUI;2025-10-24T18:56:47+00:00;48.848280403628806, 2.2373420120857195;Boulogne-Billancourt;92012;
20201;Eugène Reisz - Davout;OUI;20;17;3;2;1;OUI;OUI;2025-10-24T18:57:56+00:00;48.85631874632638, 2.410396970808506;Paris;75056;
18033;Belliard - Damrémont;OUI;34;27;7;4;3;OUI;OUI;2025-10-24T18:59:15+00:00;48.89669238777841, 2.338023450388167;Paris;75056;
17022;Pereire - Place de Wagram;OUI;46;41;4;2;2;OUI;OUI;2025-10-24T18:55:05+00:00;48.887070607581215, 2.304111124531457;Paris;75056;
11010;Boulets - Faubourg Saint-Antoine;OUI;43;32;11;8;3;OUI;OUI;2025-10-24T18:57:00+00:00;48.849259262115, 2.3917546141943;Paris;75056;
7020;Champ de Mars - Cler;OUI;40;1;35;29;6;OUI;OUI;2025-10-24T18:56:14+00:00;48.856691550115315, 2.306646779179573;Paris;75056;
16122;Route de la Muette - Porte de Neuilly;OUI;50;40;10;10;0;OUI;OUI;2025-10-24T18:56:35+00:00;48.8798926, 2.2587671;Paris;75056;
10036;Aqueduc - Villette;OUI;28;20;6;3;3;OUI;OUI;2025-10-24T18:53:58+00:00;48.883886063895, 2.367198803315;Paris;75056;
15002;Maine - Antoine Bourdelle;OUI;17;3;12;5;7;OUI;OUI;2025-10-24T18:55:01+00:00;48.84308531746595, 2.320263946784738;Paris;75056;
23304;Mairie de Sceaux;OUI;33;8;25;7;18;OUI;OUI;2025-10-24T18:56:45+00:00;48.778916905132, 2.2887361764861;Sceaux;92071;
20116;Haies - Réunion;OUI;22;19;3;0;3;OUI;OUI;2025-10-24T18:56:33+00:00;48.85386896766491, 2.402426162238911;Paris;75056;
19041;Belleville - Pyrénées;OUI;42;23;17;4;13;OUI;OUI;2025-10-24T18:51:32+00:00;48.8741908, 2.3860039;Paris;75056;
6107;Place Alphonse Deville;OUI;23;7;16;14;2;OUI;OUI;2025-10-24T18:58:31+00:00;48.850188262662, 2.3275961726904;Paris;75056;
11043;Place Pasdeloup;OUI;21;1;18;15;3;OUI;OUI;2025-10-24T18:59:16+00:00;48.862654215631, 2.3670325062844;Paris;75056;
8019;Naples - Rome;OUI;26;22;2;1;1;OUI;OUI;2025-10-24T18:58:18+00:00;48.879960700846226, 2.321358695626259;Paris;75056;
13103;Hôpital Pitié Salpêtrière;OUI;50;35;15;6;9;OUI;OUI;2025-10-24T18:57:55+00:00;48.8377016, 2.3604946;Paris;75056;
9017;Lallier - Trudaine;OUI;29;6;22;9;13;OUI;OUI;2025-10-24T18:58:35+00:00;48.88109246617963, 2.3408224806189537;Paris;75056;
10163;Gare du Nord - Demarquay;OUI;30;30;0;0;0;NON;NON;2025-10-24T18:58:38+00:00;48.881154, 2.358411;Paris;75056;
42703;Fontainebleau - Edmond Michelet;OUI;45;36;8;7;1;OUI;OUI;2025-10-24T18:58:57+00:00;48.80956436844049, 2.3626908659935;Le Kremlin-Bicêtre;94043;
17201;Porte Maillot - Perreire;OUI;51;35;12;6;6;OUI;OUI;2025-10-24T18:58:26+00:00;48.878021154637, 2.2842371277102;Paris;75056;
13046;Eugène Oudiné - Dessous Des Berges;OUI;44;33;8;5;3;OUI;OUI;2025-10-24T18:58:07+00:00;48.8256423, 2.3750226;Paris;75056;
23903;Stade Gaston Bouillant;OUI;30;6;24;14;10;OUI;OUI;2025-10-24T18:57:21+00:00;48.939958667023, 2.3279571813836;Villeneuve-la-Garenne;92078;
22102;Mont Valérien - Michel Salles;OUI;24;18;4;2;2;OUI;OUI;2025-10-24T18:58:09+00:00;48.8561915, 2.2152966;Saint-Cloud;92064;
4013;Vieille du Temple - Francs Bourgeois;OUI;29;3;18;9;9;OUI;OUI;2025-10-24T18:56:07+00:00;48.858256413365815, 2.35821794718504;Paris;75056;
15003;Gare Montparnasse - Vaugirard;OUI;66;17;46;8;38;OUI;OUI;2025-10-24T18:58:43+00:00;48.8418071798797, 2.31951002690117;Paris;75056;
31023;Place François Mitterand;OUI;34;25;9;0;9;OUI;OUI;2025-10-24T18:56:00+00:00;48.86492782016328, 2.442958317697048;Montreuil;93048;
4110;Neuve Saint-Pierre - Beautreillis;OUI;20;9;9;5;4;OUI;OUI;2025-10-24T18:59:13+00:00;48.85355351439652, 2.3639122769236565;Paris;75056;
18137;Poissonniers - Nord;OUI;28;20;8;5;3;OUI;OUI;2025-10-24T18:53:56+00:00;48.892511213520656, 2.3522228747606277;Paris;75056;
6032;Sabot - Rennes;OUI;26;5;20;14;6;OUI;OUI;2025-10-24T18:54:23+00:00;48.852575112948415, 2.331552766263485;Paris;75056;
7101;Raspail - Chomel;OUI;49;15;34;30;4;OUI;OUI;2025-10-24T18:59:10+00:00;48.852233164303, 2.3266580700874;Paris;75056;
6017;Sénat - Condé;OUI;33;21;10;9;1;OUI;OUI;2025-10-24T18:57:43+00:00;48.84954227788459, 2.337939441204071;Paris;75056;
18138;Station Paris Basketball - Ney - Charles Hermite;OUI;20;9;10;8;2;OUI;OUI;2025-10-24T18:50:48+00:00;48.898748039775, 2.3645754531026;Paris;75056;
12161;Diderot - Reuilly;OUI;44;6;34;27;7;OUI;OUI;2025-10-24T18:58:57+00:00;48.847208456061, 2.3861273378134;Paris;75056;
